name;dt;href;source
Благодатный огонь сошел в храме Гроба Господня в Иерусалиме;2020-04-18 14:18:37;https://news.mail.ru/society/41443756/;ТАСС
В России за сутки выявлено 4 785 заразившихся коронавирусом, всего — 36 793;2020-04-18 10:47:11;https://news.mail.ru/incident/41441693/;Коммерсантъ
Работодатели смогут привлекать иностранцев без разрешения на работу;2020-04-18 12:58:34;https://news.mail.ru/society/41442103/;РИА Новости
Правительство РФ расширило список пострадавших от коронавируса сфер;2020-04-18 16:05:22;https://news.mail.ru/economics/41444717/;Известия
Собянин ужесточил введенные из-за коронавируса ограничения;2020-04-18 10:15:44;https://news.mail.ru/society/41441309/;Коммерсантъ
Правительство РФ расширило список пострадавших от коронавируса сфер;2020-04-18 16:05:22;https://news.mail.ru/economics/41444717/;Известия
Собянин ужесточил введенные из-за коронавируса ограничения;2020-04-18 10:15:44;https://news.mail.ru/society/41441309/;Коммерсантъ
В Гидрометцентре рассказали, какая погода ждет россиян в мае;2020-04-18 12:20:54;https://news.mail.ru/society/41442514/;РИА Новости
Онищенко ответил на заявления Лукашенко о российских тестах на COVID-19;2020-04-18 12:53:24;https://news.mail.ru/society/41442947/;РИА Новости
Автор теории «черного лебедя» спрогнозировал последствия COVID-19;2020-04-18 10:42:53;https://news.mail.ru/society/41440962/;РИА Новости
Эксперт рассказал, что делать, если нечем платить за коммуналку;2020-04-18 09:38:02;https://news.mail.ru/economics/41439566/;РИА Новости
Остров-призрак;2020-04-18 09:23:51;https://news.mail.ru/society/41439091/;Lenta.Ru
ФСБ задержала и.о. замглавы Хакасии Сергея Новикова;2020-04-18 11:58:44;https://news.mail.ru/incident/41441172/;Газета.Ру
Собянин ужесточил введенные из-за коронавируса ограничения;2020-04-18 10:15:44;https://news.mail.ru/society/41441309/;Коммерсантъ
В Госдуме указали, что силовикам пришлось передать данные о машинах мэрии Москвы;2020-04-18 13:18:06;https://news.mail.ru/society/41442755/;Интерфакс
Воробьев ввел новые меры борьбы с коронавирусом в Подмосковье;2020-04-18 13:54:45;https://news.mail.ru/society/41443506/;RNS
В Москве оштрафованы 111 нарушителей режима карантина;2020-04-18 14:49:12;https://news.mail.ru/society/41443002/;Известия
Депутат Мособлдумы Иван Жуков умер после заражения коронавирусом;2020-04-18 16:20:36;https://news.mail.ru/society/41444423/;ТАСС
Заболевшим ОРВИ в Москве и Подмосковье бесплатно дадут лекарства;2020-04-18 14:24:13;https://news.mail.ru/society/41442745/;Коммерсантъ
